Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-01-01 00:00:00+05:30,281.22019505641634,284.3604929559859,280.23593581659793,281.50140380859375,7878201,0.0,0.0,WIPRO
2025-01-02 00:00:00+05:30,279.3453756223808,285.3916208664818,278.54857940000534,284.78228759765625,8800435,0.0,0.0,WIPRO
2025-01-03 00:00:00+05:30,284.3135807821824,284.78228106610106,275.5957669441733,276.0176086425781,12535720,0.0,0.0,WIPRO
2025-01-06 00:00:00+05:30,276.53317550190167,279.1578857248041,272.36173141162175,275.8769836425781,9173687,0.0,0.0,WIPRO
2025-01-07 00:00:00+05:30,275.87698931370414,278.8766827219958,273.06478747112936,275.64263916015625,7381943,0.0,0.0,WIPRO
2025-01-08 00:00:00+05:30,274.6583919292054,279.7672369420987,271.1899980626469,278.9235534667969,7937785,0.0,0.0,WIPRO
2025-01-09 00:00:00+05:30,278.40799174281796,279.34539238841666,273.1116838166247,274.002197265625,7964702,0.0,0.0,WIPRO
2025-01-10 00:00:00+05:30,275.8769943454597,284.2667414383746,275.8769943454597,281.7357482910156,19505556,0.0,0.0,WIPRO
2025-01-13 00:00:00+05:30,280.23593358556946,280.517142335508,272.0805365509815,273.58038330078125,9541248,0.0,0.0,WIPRO
2025-01-14 00:00:00+05:30,273.53350388088376,276.1113557216663,268.6121503666625,274.5177917480469,7670070,0.0,0.0,WIPRO
2025-01-15 00:00:00+05:30,274.65838769369384,276.2519802255805,271.56497702261646,274.3302917480469,4662694,0.0,0.0,WIPRO
2025-01-16 00:00:00+05:30,277.3768504370937,277.93929655628637,268.7527815025328,270.01824951171875,10345666,0.0,0.0,WIPRO
2025-01-17 00:00:00+05:30,269.7839116227367,269.7839116227367,262.94089791489023,264.3001403808594,9358955,0.0,0.0,WIPRO
2025-01-20 00:00:00+05:30,283.0949798507754,286.28213615414626,278.3611182862153,281.45452880859375,39380165,0.0,0.0,WIPRO
2025-01-21 00:00:00+05:30,283.4699536590357,286.7039973765929,279.1579049046921,279.6734924316406,15619474,0.0,0.0,WIPRO
2025-01-22 00:00:00+05:30,280.6108633394152,290.594173581335,280.6108633394152,289.7505187988281,30859317,0.0,0.0,WIPRO
2025-01-23 00:00:00+05:30,291.6253448776712,304.28025351993773,291.20350314671674,297.81219482421875,39904371,0.0,0.0,WIPRO
2025-01-24 00:00:00+05:30,299.030804257817,302.31170649889026,296.78104844252056,300.06195068359375,17479586,0.0,0.0,WIPRO
2025-01-27 00:00:00+05:30,297.9058885625328,299.17138504862663,287.54762374656946,288.6725158691406,12372895,0.0,0.0,WIPRO
