Budget,Standard DE,PCA-DE,PMODE,HECO-PDE,PCA-Escape DE
1000,0.004946 ± 0.000982,0.005841 ± 0.000129,0.003705 ± 0.000206,0.002806 ± 0.000071,0.004293 ± 0.001405
5000,0.007356 ± 0.000774,0.011942 ± 0.003060,0.005558 ± 0.000288,0.008313 ± 0.001121,0.008681 ± 0.004495
10000,0.008727 ± 0.000598,0.009332 ± 0.000209,0.004778 ± 0.000578,0.004667 ± 0.000911,0.008841 ± 0.003075
50000,0.010167 ± 0.003381,0.007362 ± 0.000129,0.005468 ± 0.000019,0.011052 ± 0.003080,0.015538 ± 0.004100
100000,0.015824 ± 0.005862,0.031059 ± 0.010684,0.005286 ± 0.000291,0.005438 ± 0.003345,0.017779 ± 0.000482
200000,0.015545 ± 0.000687,0.028537 ± 0.006634,0.005083 ± 0.000484,0.008979 ± 0.003904,0.019360 ± 0.001467
