fes,igd_mean,igd_std,problem,algorithm
1000,0.0024037376828170754,0.0003974024676525129,RegulatedFinance,Standard DE
5000,0.003827414549641121,0.00014053121339499628,RegulatedFinance,Standard DE
10000,0.005325820819710522,0.0006100999627020459,RegulatedFinance,Standard DE
50000,0.004182880754593984,0.0006443359275632588,RegulatedFinance,Standard DE
100000,0.005148125867964695,0.0014118014642525514,RegulatedFinance,Standard DE
200000,0.003943999933774816,0.00048336766151270286,RegulatedFinance,Standard DE
