Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-01-01 00:00:00+05:30,443.08393393717887,443.8588782795,439.57391571135923,441.2149658203125,18931186,0.0,0.0,ITC
2025-01-02 00:00:00+05:30,442.49133193531964,446.7306992540878,439.7106629516162,445.8645935058594,27131131,0.0,0.0,ITC
2025-01-03 00:00:00+05:30,446.9586213713376,447.6424042811121,437.47699542332975,439.0724792480469,38500784,0.0,0.0,ITC
2025-01-06 00:00:00+05:30,431.36547703293587,437.18833703154587,417.77878443999913,419.10430908203125,22009958,0.0,0.0,ITC
2025-01-07 00:00:00+05:30,421.8027268642203,423.7910283252627,416.7373011331246,417.63677978515625,14294780,0.0,0.0,ITC
2025-01-08 00:00:00+05:30,419.435721038305,428.00431732573554,413.84956258662663,425.6372985839844,13482926,0.0,0.0,ITC
2025-01-09 00:00:00+05:30,425.4952737464954,436.1468578467629,422.32346292445044,426.1580505371094,19732649,0.0,0.0,ITC
2025-01-10 00:00:00+05:30,426.01601399088287,427.95695766150703,418.96228709118776,421.234619140625,9145729,0.0,0.0,ITC
2025-01-13 00:00:00+05:30,411.8612421533921,420.3825092324278,411.8612421533921,415.69580078125,17799607,0.0,0.0,ITC
2025-01-14 00:00:00+05:30,417.54204523269794,418.01544891210006,412.66599311370925,413.3760986328125,18048459,0.0,0.0,ITC
2025-01-15 00:00:00+05:30,413.37613709061446,418.2995184778754,412.19262778200317,414.08624267578125,9786805,0.0,0.0,ITC
2025-01-16 00:00:00+05:30,414.74900410675934,416.0745576911416,408.1687094723871,409.82562255859375,15774070,0.0,0.0,ITC
2025-01-17 00:00:00+05:30,409.96764249427747,418.2995368348359,409.4942387500577,416.78466796875,11270061,0.0,0.0,ITC
2025-01-20 00:00:00+05:30,415.6484711858153,417.73145913670976,412.80804883147033,414.4176330566406,8742771,0.0,0.0,ITC
2025-01-21 00:00:00+05:30,414.7016486258057,423.2229153783908,412.0979282291825,414.27557373046875,15686500,0.0,0.0,ITC
2025-01-22 00:00:00+05:30,416.50058809880306,418.4415606921262,413.32877738816876,413.7548522949219,9619648,0.0,0.0,ITC
2025-01-23 00:00:00+05:30,411.8612574711563,418.3468945458208,411.00913651041515,416.78466796875,8888248,0.0,0.0,ITC
2025-01-24 00:00:00+05:30,416.0271805454013,421.32930795242055,415.69579216478695,418.11016845703125,9665384,0.0,0.0,ITC
2025-01-27 00:00:00+05:30,417.3526892479191,421.3292918750087,413.3287578086634,416.68994140625,10480203,0.0,0.0,ITC
2025-01-28 00:00:00+05:30,416.59528541451135,418.2995272971351,411.3878443468299,412.2873229980469,20813072,0.0,0.0,ITC
2025-01-29 00:00:00+05:30,412.76071636128813,414.2282563403287,407.221887040512,410.29901123046875,15158510,0.0,0.0,ITC
2025-01-30 00:00:00+05:30,409.9676107199671,414.70164779525544,408.5000707843355,412.9974060058594,22496695,0.0,0.0,ITC
2025-01-31 00:00:00+05:30,413.2814379814617,424.3590963304251,411.9559133750371,423.6963195800781,13546181,0.0,0.0,ITC
2025-02-01 00:00:00+05:30,424.16973355524414,446.41970841807506,416.16919912132676,437.9457702636719,30393007,0.0,0.0,ITC
2025-02-03 00:00:00+05:30,437.4250476268326,440.4548430642073,428.24100368388565,430.1819763183594,16991730,0.0,0.0,ITC
2025-02-04 00:00:00+05:30,433.6377990198034,435.86280223904276,424.8798303714777,430.93939208984375,18923681,0.0,0.0,ITC
2025-02-05 00:00:00+05:30,430.9393889625346,431.6021657104411,422.7495106053608,424.3117370605469,12836283,0.0,0.0,ITC
2025-02-06 00:00:00+05:30,426.06336046890937,426.06336046890937,414.8910439076552,417.63677978515625,17469129,0.0,0.0,ITC
2025-02-07 00:00:00+05:30,416.5952582972785,421.8026990259945,405.6122866178601,407.9319763183594,18875982,0.0,0.0,ITC
2025-02-10 00:00:00+05:30,404.28679271835745,410.2516682663297,403.8133889798114,404.4761657714844,12227140,0.0,0.0,ITC
2025-02-11 00:00:00+05:30,405.9910391677168,407.64795227119043,395.2921261144242,396.049560546875,14288751,0.0,0.0,ITC
2025-02-12 00:00:00+05:30,397.34792371808146,397.97305679084684,392.01021063862936,394.22222900390625,13884574,6.5,0.0,ITC
2025-02-13 00:00:00+05:30,394.27031475204564,398.1173234410263,393.35663844827394,394.0298767089844,12989029,0.0,0.0,ITC
2025-02-14 00:00:00+05:30,396.0014661827297,400.2812751894459,392.77959046029304,394.558837890625,14124236,0.0,0.0,ITC
2025-02-17 00:00:00+05:30,394.12603937418936,395.6648487625189,391.1927069076455,392.9719543457031,11975265,0.0,0.0,ITC
2025-02-18 00:00:00+05:30,392.39491018757707,395.1359099155748,388.54790126416947,389.7500915527344,12998403,0.0,0.0,ITC
2025-02-19 00:00:00+05:30,389.3172697473528,393.1642784577035,389.02875583421536,390.8560791015625,7079032,0.0,0.0,ITC
2025-02-20 00:00:00+05:30,384.65279872265523,388.45170224904115,381.0462280233567,386.6724548339844,15355585,0.0,0.0,ITC
2025-02-21 00:00:00+05:30,386.6724764914858,387.8265909200422,383.93150608677536,385.56646728515625,8240986,0.0,0.0,ITC
2025-02-24 00:00:00+05:30,384.700874956215,387.97082652327333,383.4986847219768,386.5281982421875,7037625,0.0,0.0,ITC
2025-02-25 00:00:00+05:30,386.62438730224534,391.43314833834296,385.1817589914161,389.3653869628906,15760891,0.0,0.0,ITC
2025-02-27 00:00:00+05:30,389.3654104380863,390.9522958056036,384.2200299491726,386.2397155761719,19051003,0.0,0.0,ITC
2025-02-28 00:00:00+05:30,383.73912917511376,387.10526188717614,377.1992259318174,379.8921203613281,31954776,0.0,0.0,ITC
2025-03-03 00:00:00+05:30,380.8057848257319,383.7391172146777,376.23746200174764,382.2484130859375,10702826,0.0,0.0,ITC
2025-03-04 00:00:00+05:30,380.2768157418011,382.00798731989397,377.82435936077115,379.74786376953125,13404774,0.0,0.0,ITC
2025-03-05 00:00:00+05:30,379.4112349821189,396.9632122658291,379.4112349821189,389.5577087402344,15665018,0.0,0.0,ITC
2025-03-06 00:00:00+05:30,393.5009194323491,394.0299007695933,385.22984437591543,390.1828918457031,17869996,0.0,0.0,ITC
2025-03-07 00:00:00+05:30,388.11510203965406,390.3271497866334,386.33588388818345,388.45172119140625,11180761,0.0,0.0,ITC
2025-03-10 00:00:00+05:30,385.7107105996322,391.2888910064267,385.0855775356017,389.5096435546875,9785018,0.0,0.0,ITC
2025-03-11 00:00:00+05:30,386.1435403860541,392.77962524740065,385.8550264422196,390.6637878417969,11099475,0.0,0.0,ITC
2025-03-12 00:00:00+05:30,390.85607392496263,397.4921579923581,388.547874599392,396.6265869140625,13844306,0.0,0.0,ITC
2025-03-13 00:00:00+05:30,397.2036849356402,398.55013223484355,392.5872858097,396.2900085449219,8196569,0.0,0.0,ITC
2025-03-17 00:00:00+05:30,397.20363838043716,400.32933287132437,391.43312547418384,392.3468017578125,5257805,0.0,0.0,ITC
2025-03-18 00:00:00+05:30,394.31842149451984,396.1938501173774,392.1544789375377,393.4528503417969,13861897,0.0,0.0,ITC
2025-03-19 00:00:00+05:30,394.3184059049263,395.0397200620695,387.20144542451675,387.63421630859375,12830387,0.0,0.0,ITC
2025-03-20 00:00:00+05:30,389.50964497469676,391.0965302508203,386.5282072542035,388.49981689453125,16994037,0.0,0.0,ITC
2025-03-21 00:00:00+05:30,390.4233291082126,391.9140333230442,386.3358821349048,390.0386047363281,25302035,0.0,0.0,ITC
2025-03-24 00:00:00+05:30,391.4331323758087,397.05938842867533,390.08668521067875,395.1839599609375,14362572,0.0,0.0,ITC
2025-03-25 00:00:00+05:30,396.2419041658655,399.36759879824183,393.06813366389935,394.12603759765625,20338110,0.0,0.0,ITC
2025-03-26 00:00:00+05:30,394.60692684899476,395.47252733324694,390.71184207125464,391.769775390625,13891436,0.0,0.0,ITC
2025-03-27 00:00:00+05:30,392.3948763562974,394.99161889585264,390.1347529385877,393.7894287109375,18642328,0.0,0.0,ITC
2025-03-28 00:00:00+05:30,395.18398159578936,399.7042287729926,392.5391629889967,394.0779724121094,12981873,0.0,0.0,ITC
2025-04-01 00:00:00+05:30,394.1260406660441,398.55010666561213,390.08669902758044,391.0965270996094,15206240,0.0,0.0,ITC
2025-04-02 00:00:00+05:30,391.4812500970324,394.31843103609066,390.51949782621267,393.4047546386719,8001323,0.0,0.0,ITC
2025-04-03 00:00:00+05:30,391.4812095354885,394.51075235495847,391.1446197558559,393.7413330078125,7059566,0.0,0.0,ITC
2025-04-04 00:00:00+05:30,391.91401018990615,397.01128496266676,389.0287536731707,394.0298767089844,18627592,0.0,0.0,ITC
2025-04-07 00:00:00+05:30,375.2276160600784,392.49107984083315,375.2276160600784,390.51947021484375,26762866,0.0,0.0,ITC
2025-04-08 00:00:00+05:30,396.14571046934793,399.89653803876325,391.6735687769548,396.7708435058594,18600796,0.0,0.0,ITC
