algorithm,return,vol,sharpe,sortino,mdd,carbon
Standard DE,0.19413922575003947,0.15307780325073517,1.006933875955652,1.3653931204452743,-0.1826494468221917,0.4
PCA-DE,0.1950040211003896,0.15003697645045072,1.033105470181074,1.4142824370613878,-0.1810386087493608,0.4
PCA-Escape DE,0.20298780583597043,0.15928299932617745,1.0232592713940947,1.4386359093692616,-0.19225662442199276,0.4
PMODE,0.21866086226893333,0.18100717853407006,0.9870374408123538,1.406922847204075,-0.18401217886944454,0.3999999999999999
HECO-PDE,0.19622683556199708,0.16965781064369367,0.9208349145215388,1.2622996648689258,-0.1429832942272222,0.3999999999999999
