Budget,Standard DE,PCA-DE,PMODE,HECO-PDE,PCA-Escape DE
1000,0.862192 ± 0.036936,1.734756 ± 0.202675,0.212711 ± 0.144733,4.002766 ± 0.254100,3.012790 ± 0.066669
5000,0.810127 ± 0.000000,0.816602 ± 0.006464,0.026680 ± 0.000483,3.017615 ± 0.125915,1.527370 ± 0.221241
10000,0.810127 ± 0.000000,0.817739 ± 0.005010,0.025927 ± 0.001481,1.305168 ± 0.495040,1.158057 ± 0.202456
50000,0.810127 ± 0.000000,0.822573 ± 0.012126,0.029931 ± 0.002965,0.810127 ± 0.000000,0.810277 ± 0.000150
100000,0.810127 ± 0.000000,0.810127 ± 0.000000,0.029016 ± 0.000368,0.810127 ± 0.000000,0.810642 ± 0.000515
200000,0.810127 ± 0.000000,0.909624 ± 0.077612,0.030329 ± 0.003276,0.810127 ± 0.000000,0.810127 ± 0.000000
