problem,algorithm,igd_mean,igd_std,hv_mean,gd_mean,spread_mean,segment_coverage
DTLZ1_2obj,Standard DE,25.54860164479639,20.04268385798342,0.0,43.98520703504045,0.8937761554206223,
DTLZ1_2obj,PCA-DE,52.81993619516355,5.170920985645665,0.0,59.01744538815568,0.9392640484998893,
DTLZ1_2obj,PCA-Escape DE,58.7004660999448,9.29705040913392,0.0,59.0764339319825,0.9880027930672195,
DTLZ1_2obj,PMODE,23.390101053031255,1.319252427795403,0.0,36.242464929703225,0.790039951827971,
DTLZ1_2obj,HECO-PDE,30.492072256088,4.022833814757027,0.0,43.304811172159916,0.8096538579986541,
DTLZ2_2obj,Standard DE,0.4210840614343895,0.04319069961265149,4.522499999999999,0.45447410439765007,0.6194775530970096,
DTLZ2_2obj,PCA-DE,0.2675106403826983,0.2405332211520813,4.89249697212284,0.11239400125475987,0.757849411294832,
DTLZ2_2obj,PCA-Escape DE,0.06041690809384932,0.010964273080545007,5.332304122091083,0.047599568696226516,0.6069370030327492,
DTLZ2_2obj,PMODE,0.007170597822074349,0.0001880043539890458,5.441249999999999,0.0042647780205142555,0.3349998547580117,
DTLZ2_2obj,HECO-PDE,0.0753512401669728,0.026658656388032234,4.692638226408127,0.01059463329724882,0.820343737917509,
DTLZ7_2obj,Standard DE,0.810133301701953,3.0767479260014257e-06,1.4999927685662908,7.231433709264934e-06,1.0,1.0
DTLZ7_2obj,PCA-DE,0.8102635571715238,0.00017619345263957084,1.499837602739587,0.00016276939573103277,1.0,1.0
DTLZ7_2obj,PCA-Escape DE,0.8107148711952042,0.000255694128908233,1.4993004382679103,0.0007244773210185685,1.0,1.0
DTLZ7_2obj,PMODE,0.007800034101913442,0.0003317867135783642,2.2005139248721104,0.002221045091963274,0.5045882105634704,2.0
DTLZ7_2obj,HECO-PDE,0.9863865077884422,0.3525185427094566,1.3119213393700988,0.18807866062990114,0.2,1.0
DTLZ1_3obj,Standard DE,8.361047277229831,4.0763807159979,0.0,8.021296427877207,,
DTLZ1_3obj,PCA-DE,31.418007930464974,4.586612762253436,0.0,31.08323271875754,,
DTLZ1_3obj,PCA-Escape DE,46.983633707709785,2.6241273997593932,0.0,51.85429554810412,,
DTLZ1_3obj,PMODE,12.737484497774227,2.748045281978612,0.0,27.778389336735785,,
DTLZ1_3obj,HECO-PDE,22.67068746373214,4.303913173800825,0.0,55.66849791506561,,
DTLZ2_3obj,Standard DE,0.7591071032564625,0.12243188680245636,10.869091499654667,0.8938146074065232,,
DTLZ2_3obj,PCA-DE,0.5457195816528937,0.09223968457830806,11.882934542648625,0.48111305682070526,,
DTLZ2_3obj,PCA-Escape DE,0.4456566946558331,0.07561641556176699,12.928717472444736,0.30662173229168027,,
DTLZ2_3obj,PMODE,0.0861514715570054,0.0018009765646649957,14.977734375,0.05105293207419298,,
DTLZ2_3obj,HECO-PDE,0.3485185431537393,0.04405270938677788,13.72890625,0.2846740820332,,
DTLZ7_3obj,Standard DE,2.942302029181507,0.011823792297777733,13.983874036995877,0.04170795117639074,,
DTLZ7_3obj,PCA-DE,3.0584609644370664,0.0244365026307016,13.864011811287435,0.17410733246211604,,
DTLZ7_3obj,PCA-Escape DE,3.1777414064966383,0.17452528370559406,13.741657846682989,0.30085308181298187,,
DTLZ7_3obj,PMODE,0.9342061735265752,0.224581250080551,14.99217919279646,0.21462121907655188,,
DTLZ7_3obj,HECO-PDE,4.535723545857143,0.9901620209968084,12.362576543242355,1.662144561673492,,
